鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物),臺北市信義區信義路四段４１５號七樓之７,10.0,商,,,1110802,土地6建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710315,130.65,0,0,0,無,有,27000000,206659,,0.0,0,,RPUPMLQJRHHGFDA58DA,102.0,0.0,0.0,有,
北投區,房地(土地+建物),臺北市北投區石牌路二段３３１巷７號五樓,48.73,住,,,1110809,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770719,131.35000000000002,3,2,2,有,無,19000000,144652,,0.0,0,頂樓加蓋；其他增建；,RPQNMLTKQHHGFEA38DA,115.84,0.0,12.71,無,
北投區,土地,振興段一小段471地號,8.39,都市：其他:道路用地(公共設施用地)。65/6/18,,,1110830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,656733,78276,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLLLQHHGFEA57DA,0.0,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區德行東路２９８號四樓,36.31,住,,,1110802,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690626,125.51,3,2,2,有,無,17000000,135447,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLSJQHHGFEA58DA,112.53,0.0,12.98,無,
北投區,房地(土地+建物),臺北市北投區懷德街９８巷２４號三樓,38.75,住,,,1110807,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0581119,100.8,2,2,2,有,無,20000000,198413,,0.0,0,其他增建；,RPPNMLNLQHHGFEA77DA,100.8,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區德行東路２３３號地下樓,147.08,住,,,1110810,土地1建物2車位0,地下一層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0670707,652.96,0,0,0,無,有,120200000,184085,,0.0,0,,RPXOMLMJRHHGFEA48DA,610.38,0.0,0.0,有,
大安區,房地(土地+建物),臺北市大安區大安路一段５２巷２３號六樓,11.31,住,,,1110812,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670322,46.46,3,2,2,有,有,12736400,274137,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLQJRHHGFFA98DA,33.94,0.0,6.62,有,
中正區,土地,福和段二小段367地號,18.8,都市：其他:道路用地(公共設施用地)。50/9/19,,,1110822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3913681,208175,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPOMLRJRHHGFAA87EA,0.0,0.0,0.0,無,
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段２號二十一樓之２,37.76,商,,,1110829,土地2建物1車位2,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060425,394.33000000000004,4,2,3,有,有,99988899,253567,坡道平面,0.0,0,政府機關標讓售；,RPPNMLSJRHHGFAA87EA,200.89,12.36,10.08,有,
大同區,土地,雙連段一小段99地號,40.58,都市：其他:道路用地(公共設施用地)。45/5/4,,,1110830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,29571,,0.0,0,包含公共設施保留地用地；,RPUNMLRJRHHGFBA38EA,0.0,0.0,0.0,無,024
